workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.002,17306,0,5,12,14,21,144.21426309561508,24.447592540124333
w2-10vu,a,s1,10,120.059,16968,0,65,79,84,104,141.33051249802182,23.10405717189049
w2-50vu,a,s1,50,120.543,13705,0,360,429,475,3496,113.6938685780178,17.98889193068034
q-time-1h-10vu,a,s1,10,120.086,12100,0,99,109,113,120,100.76112119647586,0
q-time-24h-10vu,a,s1,10,120.113,9745,0,124,127,128,130,81.1319340953935,0
q-time-7d-10vu,a,s1,10,120.124,9687,0,124,129,131,134,80.64167027405016,0
q-id-10vu,a,s1,10,120.178,6800,0,176,183,187,198,56.58273560884688,0
q-full-10vu,a,s1,10,139.177,61,0,21701,26107,27365,28402,0.4382908095446805,0.7209883817009994
w1-1vu,a,s2,1,120.005,5880,0,20,29,30,32,48.997958418399236,1.063870672055331
w1-10vu,a,s2,10,120.093,5669,0,212,299,311,326,47.20508272755281,1.0172666183707626
w1-50vu,a,s2,50,120.609,5701,0,1048,1498,1561,1619,47.26844597003541,1.0183303070251806
q-time-1h-10vu-s2,a,s2,10,120.08,17920,0,67,76,78,84,149.23384410393072,0
q-time-24h-10vu-s2,a,s2,10,120.074,10405,0,115,130,135,146,86.65489614737578,0
q-time-7d-10vu-s2,a,s2,10,120.126,9520,0,126,140,144,152,79.2501207065914,0
q-id-10vu-s2,a,s2,10,120.206,5669,0,212,246,256,272,47.16070745220704,0
m1-1tenant,a,s1,50,300.738,20382,0,737,746,750,756,67.77327773676755,0
m2-5tenants,a,s1,50,300.637,23096,0,649,666,677,698,76.82354467347665,0
m3-50tenants,a,s1,50,300.562,26881,0,558,571,575,590,89.43579028619719,0
mixed-10vu,a,s1,10,900.139,78889,0,62,99,170,1446,87.64090879297531,1.530905115765454
mixed-50vu,a,s1,50,900.675,87172,0,268,344,552,6821,96.7851888861132,1.7088163877092182
mixed-100vu,a,s1,100,901.018,78223,0,586,712,5527,15199,86.81624562439374,1.508979842800033
w2-1vu,b,s1,1,120.007,16327,0,6,13,15,22,136.0503970601715,21.60390643879107
w2-10vu,b,s1,10,120.051,14086,0,79,96,103,138,117.33346661002408,18.985722734504503
w2-50vu,b,s1,50,120.323,14552,0,372,441,491,2392,120.94113344913276,19.57771997041297
q-time-1h-10vu,b,s1,10,120.143,7146,0,166,183,189,205,59.47912071448191,0
q-time-24h-10vu,b,s1,10,120.214,6031,0,197,226,236,257,50.16886552315038,0
q-time-7d-10vu,b,s1,10,120.243,3834,0,312,352,364,391,31.885432000199597,0
q-id-10vu,b,s1,10,120.294,3435,0,353,385,394,419,28.55504015162851,0
q-full-10vu,b,s1,10,147.712,44,0,33561,35681,36475,38900,0.2978769497400347,0.490007582322357
w1-1vu,b,s2,1,120.013,4346,0,27,38,40,72,36.21274361944123,0.7884695824618999
w1-10vu,b,s2,10,120.115,5056,0,237,335,349,375,42.09299421387837,0.9063713940806727
w1-50vu,b,s2,50,120.683,4878,0,1231,1757,1820,1882,40.41994315686551,0.8729133349353264
q-time-1h-10vu-s2,b,s2,10,120.099,13937,0,86,93,96,99,116.04592877542693,0
q-time-24h-10vu-s2,b,s2,10,120.105,12283,0,97,107,111,122,102.26884809125349,0
q-time-7d-10vu-s2,b,s2,10,120.177,6210,0,194,217,223,235,51.67378117277016,0
q-id-10vu-s2,b,s2,10,120.335,3426,0,347,393,406,420,28.470519798894752,0
m1-1tenant,b,s1,50,301.023,14133,0,1046,1157,1216,1247,46.94990083814193,0
m2-5tenants,b,s1,50,300.872,17810,0,843,879,889,917,59.194607673695124,0
m3-50tenants,b,s1,50,300.625,23141,0,648,683,693,716,76.97629937629938,0
m4-50tenants-b,b,s1,50,300.62,23184,0,647,684,695,714,77.12061739072583,0
mixed-10vu,b,s1,10,900.191,64418,0,72,152,260,1764,71.5603688550541,1.2592165440445418
mixed-50vu,b,s1,50,900.689,60267,0,387,541,757,9861,66.91210839701607,1.2221115168498782
mixed-100vu,b,s1,100,901.251,65930,0,714,893,1109,18283,73.15387167392879,1.3082987980041076
