workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.002,16645,0,6,13,15,22,138.70602156630724,23.250487491875134
w2-10vu,a,s1,10,120.056,18419,0,64,77,82,94,153.42007063370428,24.926617578463382
w2-50vu,a,s1,50,120.259,15343,0,355,422,536,745,127.58296676340233,20.745931697419735
q-time-1h-10vu,a,s1,10,120.095,11325,0,106,118,122,127,94.30034555976519,0
q-time-24h-10vu,a,s1,10,120.086,12670,0,95,106,109,114,105.50771946771481,0
q-time-7d-10vu,a,s1,10,120.113,10520,0,113,127,131,140,87.58419155295431,0
q-id-10vu,a,s1,10,120.028,0,52500,0,0,0,0,0,0
q-full-10vu,a,s1,10,129.368,189,145,4488,10422,12513,15024,1.4609486117123245,2.403260466266774
w1-1vu,a,s2,1,120.013,4578,0,26,37,39,41,38.14586753101747,0.8274953546699108
w1-10vu,a,s2,10,120.105,5252,2310,223,318,330,342,43.728404312892884,0.945570958744432
w1-50vu,a,s2,50,120.556,5176,2638,1132,1610,1677,1721,42.93440392846478,0.9239772387935897
q-time-1h-10vu-s2,a,s2,10,120.067,14574,6300,59,70,73,79,121.38222825589047,0
q-time-24h-10vu-s2,a,s2,10,120.066,9999,4264,86,105,110,121,83.27919644195693,0
q-time-7d-10vu-s2,a,s2,10,120.081,9229,3994,94,112,118,127,76.85645522605574,0
q-id-10vu-s2,a,s2,10,120.179,4954,2127,175,222,236,255,41.22184408257682,0
m1-1tenant,a,s1,50,302.98,0,33733,0,0,0,0,0,0
m2-5tenants,a,s1,50,300.353,23876,15924,381,422,434,452,79.49312975066006,0
m3-50tenants,a,s1,50,300.414,27772,14460,356,409,423,454,92.44575818703522,0
mixed-10vu,a,s1,10,900.042,139833,137540,20,80,115,258,155.36274973834554,3.2606191711053483
mixed-50vu,a,s1,50,915.244,23261,23921,54,127,167,370,25.415080568678952,0.5187556542299103
mixed-100vu,a,s1,100,906.951,21398,29062,84,188,237,368,23.593336354444727,0.5168497526327221
w2-1vu,b,s1,1,120.009,12811,0,8,16,17,25,106.75032705880392,17.72500395803648
w2-10vu,b,s1,10,120.036,16116,6883,48,61,67,100,134.25972208337498,21.599353527275152
w2-50vu,b,s1,50,120.182,17815,5681,236,271,288,661,148.23351250603253,24.219225840808107
q-time-1h-10vu,b,s1,10,120.097,10278,4416,84,108,118,148,85.58082216874693,0
q-time-24h-10vu,b,s1,10,120.063,10347,4275,85,106,114,138,86.17975562829514,0
q-time-7d-10vu,b,s1,10,120.053,7834,3391,111,145,160,201,65.25451259027263,0
q-id-10vu,b,s1,10,120.209,4704,2120,185,256,277,332,39.13184536931511,0
q-full-10vu,b,s1,10,124.967,53,97,10775,16493,18596,20617,0.42411196555890757,0.6976641833444029
w1-1vu,b,s2,1,123.469,0,12265,0,0,0,0,0,0
w1-10vu,b,s2,10,120.189,2924,6772,351,549,697,860,24.328349516178687,0.5246936075680803
w1-50vu,b,s2,50,120.806,3091,10023,1676,2366,2471,2556,25.58647749283976,0.5516812078870255
q-time-1h-10vu-s2,b,s2,10,120.073,5911,13582,65,81,86,96,49.22838606514371,0
q-time-24h-10vu-s2,b,s2,10,120.066,5746,13998,65,81,86,94,47.85701197674612,0
q-time-7d-10vu-s2,b,s2,10,120.062,4230,9568,96,129,140,158,35.23179690493245,0
q-id-10vu-s2,b,s2,10,120.124,3153,7519,125,180,199,232,26.247877193566648,0
m1-1tenant,b,s1,50,300.199,0,73505,0,0,0,0,0,0
m2-5tenants,b,s1,50,300.404,13905,20888,439,489,505,532,46.287665943196494,0
m3-50tenants,b,s1,50,300.395,17160,21870,388,432,446,475,57.124785698829875,0
m4-50tenants-b,b,s1,50,300.333,18142,23165,368,422,434,462,60.406282359913824,0
mixed-10vu,b,s1,10,900.154,28958,68320,78,154,517,1785,32.170050902401144,0.5579887441482235
mixed-50vu,b,s1,50,900.517,39364,52358,407,522,569,8922,43.71266727890756,0.8206963333285213
mixed-100vu,b,s1,100,900.939,38307,63956,691,835,918,16994,42.51897187267951,0.7320995095117427
